statement,triple,bucket
"BLANK_ holds more bacteria a lunch box or a brown box .
"," holds(?, more bacteria)
 ",77
"BLANK_ typically holds the most bacteria .
"," typically holds(?, the most bacteria)
 ",77
"BLANK_ are groups of bacteria living together in a close knit group known as .
"," are groups of(?, bacteria)
 ",78
"BLANK_ are the benefints and illnesness of a bacteria .
"," are the benefints and illnesness of(?, a bacteria)
 ",79
"BLANK_ is a important role of bacteria .
"," is a important role of(?, bacteria)
 ",80
"BLANK_ is the structural polysaccharide in bacteria .
"," is the structural polysaccharide in(?, bacteria)
 ",81
"BLANK_ is the rarest role of bacteria .
"," is the rarest role of(?, bacteria)
 ",82
"BLANK_ is an accumulation of bacteria and debris on the tooth 's surfaces .
"," is an accumulation of(?, bacteria)
 ",83
"BLANK_ are the useful activities of bacteria .
"," are the useful activities of(?, bacteria)
 ",84
"BLANK_ is the big group of bacteria .
"," is the big group of(?, bacteria)
 ",85
"BLANK_ are the exoenzymes and endoenzymes of bacteria .
"," are the exoenzymes and endoenzymes of(?, bacteria)
 ",86
"BLANK_ is a good aerostic peoem for bacteria .
"," is a good aerostic peoem for(?, bacteria)
 ",87
"BLANK_ might tell that food are contaminated by bacteria .
"," are contaminated(?, by bacteria)
 ",88
"BLANK_ Does Bacteria Not Cause .
"," Does Not Cause(?, Bacteria)
 ",89
"BLANK_ allow scientist to study bacteria .
"," to study(?, bacteria)
 ",90
"BLANK_ is denitrifying bacteria .
"," is denitrifying(?, bacteria)
 ",91
"BLANK_ rhymes with bacteria .
"," rhymes(?, with bacteria)
 ",92
"BLANK_ engulfs bacteria .
"," engulfs(?, bacteria)
 ",93
"BLANK_ invented bacteria .
"," invented(?, bacteria)
 ",94
"BLANK_ nourishes bacteria .
"," nourishes(?, bacteria)
 ",95
"BLANK_ moves bacteria .
"," moves(?, bacteria)
 ",96
"BLANK_ does not have bacteria .
"," does not have(?, bacteria)
 ",97
"BLANK_ is nitrifying bacteria .
"," is nitrifying(?, bacteria)
 ",98
"BLANK_ are nitrifying bacteria .
"," are nitrifying(?, bacteria)
 ",98
"BLANK_ is opsonized bacteria .
"," is opsonized(?, bacteria)
 ",99
"BLANK_ is denitifying bacteria .
"," is denitifying(?, bacteria)
 ",100
"BLANK_ would breed the most bacteria .
"," would breed(?, the most bacteria)
 ",101
"BLANK_ is bacteria in .
"," is in(?, bacteria)
 ",102
"BLANK_ is the bacteria at this temperature D not able to multiply .
"," is able(?, the bacteria)
 ",103
"BLANK_ fights invading bacteria by either slowing their multiplication or destroying them .
"," fights invading(?, bacteria)
 ",104
"BLANK_ are caused by bacteria .
"," are caused(?, by bacteria)
 ",105
"BLANK_ are customized bacteria .
"," are customized(?, bacteria)
 ",106
"BLANK_ are bacteria helpful .
"," are helpful(?, bacteria)
 ",107
"BLANK_ make up bacteria .
"," make up(?, bacteria)
 ",108
"BLANK_ are possessed by all bacteria .
"," are possessed(?, by all bacteria)
 ",109
"BLANK_ are given for bacteria .
"," are given(?, for bacteria)
 ",110
"BLANK_ are there to control bacteria .
"," to control(?, bacteria)
 ",111
"BLANK_ would you use to grow bacteria .
"," would use to grow(?, bacteria)
 ",112
"BLANK_ would you use to look at bacteria from your teeth .
"," would use to look(?, at bacteria)
 ",113
"BLANK_ does bacteria and fungi help transform .
"," help transform transform(?, )
 ",114
"BLANK_ allow harmful bacteria to multiply rapidly .
"," to multiply rapidly(?, )
 ",115
"BLANK_ cause food to spoil .
"," to spoil(?, )
 ",116
"BLANK_ might change on the off spring bacteria that under went conjugation .
"," might change(?, )
 ",117
"BLANK_ is rhizobia .
"," is rhizobia(?, )
 ",118
"BLANK_ probably was used in naming cyanobacteria .
"," probably was used(?, )
 ",119
"BLANK_ is expected to cause spoilage to the food in fridge storage .
"," is expected(?, )
 ",120
"BLANK_ is not processed with the help of bacteria .
"," is not processed(?, )
 ",121
"BLANK_ attach to bacteria and inject hereditary material .
"," attach(?, )
 ",122
"BLANK_ are needed with someone with acinetobacter in sputum .
"," are needed(?, )
 ",123
"BLANK_ infect natraly .
"," infect natraly(?, )
 ",124
"BLANK_ may contain populations of bacteria fungi deer frogs and salamanders These all combine to form a .
"," combine to form(?, )
 ",125
